Species;Height_gen;Height_veg;Height_veg&gen;LDMC;Leaf_area;Leaf_area1;Leaf_area2;Leaf_area3;Leaf_area4;Leaf_area5;Leaf_area6;Leaf_area7;Leaf_dry_mass;Leaf_fresh_mass;Leaf_length;Leaf_mass;Leaf_width;LeafArBRIT6CLASSFACTORIAL;Seed_dry_mass;Seed_number_per_inflorescence;Seed_number_per_plant;Seed_number_per_plant_BRIT5CLASSFACTORIAL;Seedmass;SLA;SLA1;SLA2;SLA3;SLA4;SLA5;sum_all_traits;Height_Grouped;Leaf_Grouped;Seed_Grouped;sum_Grouped;Height_veg_Selected;LDMC_Selected;Leaf_area_Selected;Leaf_dry_mass_Selected;Seed_dry_mass_Selected;Seed_number_per_plant_Selected;SLA2_Selected;sum_Selected
Carex spicata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex stylosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex subspathacea;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;1;1;1;3;1;0;0;1;1;0;0;3
Carex sylvatica;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;17;1;1;1;3;1;1;1;1;1;1;1;7
Carex tenuiflora;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex vaginata;1;1;1;1;1;1;0;0;1;0;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;1;0;0;21;1;1;1;3;1;1;1;1;1;1;1;7
Carex vesicaria;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;0;0;0;0;14;1;1;1;3;1;1;1;1;1;1;0;6
Carex viridula;1;1;1;0;1;0;1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;13;1;1;1;3;1;0;1;1;1;0;1;5
Carlina vulgaris;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;1;0;1;1;1;1;0;0;0;1;1;1;1;0;19;1;1;1;3;1;1;1;1;1;1;1;7
Carum carvi;1;1;1;1;1;0;0;0;1;0;0;0;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;19;1;1;1;3;1;1;1;1;1;1;1;7
Cassiope tetragona;1;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;0;1;0;0;0;0;1;1;0;1;1;0;16;1;1;1;3;1;1;1;1;1;0;0;5
Catabrosa aquatica;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;0;0;0;0;14;1;1;1;3;1;1;1;1;1;1;0;6
Centaurea jacea;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;0;1;0;1;1;1;0;1;0;1;1;1;1;0;21;1;1;1;3;1;1;1;1;1;1;1;7
Centaurea nigra;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;1;1;1;1;0;1;0;1;1;1;0;0;21;1;1;1;3;1;1;1;1;1;1;1;7
Centaurea phrygia;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;6;1;0;1;2;1;0;0;0;0;1;0;2
Centaurea scabiosa;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Centaurea x moncktonii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Centaurium littorale;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;14;1;1;1;3;1;1;1;1;1;1;1;7
Centaurium pulchellum;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;14;1;1;1;3;1;1;1;1;1;1;1;7
Cephalanthera longifolia;1;1;1;1;1;0;0;0;1;1;0;0;1;1;0;1;0;1;1;1;1;0;0;0;0;1;0;0;0;15;1;1;1;3;1;1;1;1;1;1;1;7
Cephalanthera rubra;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;1;2;0;0;0;0;0;1;0;1
Cerastium alpinum;1;1;1;1;1;0;0;0;1;1;0;0;1;1;0;1;0;1;1;1;1;0;1;0;0;1;1;0;0;17;1;1;1;3;1;1;1;1;1;1;1;7
Cerastium arcticum;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;7;1;1;1;3;1;0;1;1;1;1;0;5
Cerastium brachypetalum;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;1;1;0;1;0;0;1;0;0;0;10;1;1;1;3;1;0;0;1;1;1;1;5
Cerastium cerastoides;1;1;1;1;1;1;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;0;1;1;0;1;0;0;0;17;1;1;1;3;1;1;1;1;1;1;1;7
Cerastium diffusum;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;0;0;0;0;14;1;1;1;3;1;1;1;1;1;1;0;6
Cerastium fontanum;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;24;1;1;1;3;1;1;1;1;1;1;1;7
Cerastium glutinosum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cerastium semidecandrum;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;1;0;19;1;1;1;3;1;1;1;1;1;1;1;7
Ceratocapnos claviculata;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Ceratophyllum demersum;0;1;1;1;1;1;0;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;13;1;1;1;3;1;1;1;1;1;0;1;6
Chamaedaphne calyculata;0;1;1;0;0;1;0;1;0;0;1;1;1;0;0;0;1;0;1;0;0;0;1;0;1;1;1;1;0;14;1;1;1;3;1;0;0;1;1;0;1;4
Chamaepericlymenum suecicum;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Chamerion angustifolium;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Chamorchis alpina;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;1;0;1;2;1;0;0;0;1;0;0;2
Chenopodium album;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;25;1;1;1;3;1;1;1;1;1;1;1;7
Chimaphila umbellata;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;1;1;0;2;1;0;1;0;0;0;0;2
Chrysosplenium alternifolium;1;1;1;1;1;1;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;19;1;1;1;3;1;1;1;1;1;1;0;6
Chrysosplenium oppositifolium;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;0;0;0;0;14;1;1;1;3;1;1;1;1;1;1;0;6
Chrysosplenium tetrandrum;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;1;1;0;2;0;0;1;1;0;0;0;2
Cicerbita alpina;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Cicuta virosa;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;1;1;0;0;0;15;1;1;1;3;1;1;1;1;1;1;1;7
Cinna latifolia;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1;0;1;2;1;0;0;0;1;0;0;2
Circaea alpina;1;1;1;1;1;0;0;0;1;1;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0;1;0;1;0;16;1;1;1;3;1;1;1;1;1;1;1;7
Circaea intermedia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Circaea lutetiana;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Cirsium acaulon;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1
Cirsium arvense;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0;24;1;1;1;3;1;1;1;1;1;1;1;7
Cirsium heterophyllum;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;4;1;1;0;2;1;0;0;0;0;0;0;1
Cirsium oleraceum;1;1;1;1;1;1;0;0;0;0;1;1;1;0;1;1;1;0;1;1;1;0;1;0;1;1;0;1;0;19;1;1;1;3;1;1;1;1;1;1;1;7
Cirsium palustre;1;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;16;1;1;1;3;1;0;0;1;1;1;1;5
Cladium mariscus;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;10;1;1;1;3;1;1;0;1;1;0;0;4
Clematis sibirica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clinopodium vulgare;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;17;1;1;1;3;1;1;1;1;1;1;1;7
Cochlearia anglica;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;13;1;1;1;3;1;1;1;1;1;1;1;7
Cochlearia danica;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;16;1;1;1;3;1;1;1;1;1;1;1;7
Cochlearia officinalis;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;1;1;0;0;12;1;1;1;3;1;0;0;1;1;1;1;5
Coeloglossum viride;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;5;1;1;1;3;0;1;1;0;0;1;0;3
Coleanthus subtilis;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;5;1;0;1;2;1;0;0;0;1;0;0;2
Comarum palustre;1;1;1;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;1;1;0;1;0;1;1;1;0;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Comastoma tenellum;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;1;0;0;0;0;0;0;1
Conopodium majus;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;1;1;0;1;0;0;0;0;15;1;1;1;3;1;1;1;1;1;1;0;6
Convallaria majalis;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;0;22;1;1;1;3;1;1;1;1;1;1;1;7
Coptidium lapponicum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Corallorhiza trifida;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;1;0;0;0;0;0;0;1
Cornus sanguinea;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;5;1;1;1;3;0;1;1;0;0;1;0;3
Corydalis intermedia;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;1;0;0;0;0;0;0;1
Corydalis pumila;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;6;1;0;1;2;1;0;0;0;1;1;0;3
Corylus avellana;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;20;1;1;1;3;1;1;1;1;1;1;1;7
Corynephorus canescens;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;1;1;0;0;14;1;1;1;3;1;1;1;1;1;0;1;6
Cotoneaster integerrimus;1;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;1;0;1;1;1;0;1;0;1;1;1;0;0;19;1;1;1;3;1;1;1;1;1;1;1;7
Cotoneaster niger;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;2;1;0;0;0;0;0;0;1
Crambe maritima;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;17;1;1;1;3;1;1;1;1;1;1;1;7
Crassula aquatica;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;2;1;0;0;0;0;0;0;1
Crataegus kyrtostyla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crataegus monogyna;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;24;1;1;1;3;1;1;1;1;1;1;1;7
Crataegus rhipidophylla;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;7;1;1;1;3;1;0;0;1;1;0;0;3
Crepis multicaulis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1
Crepis paludosa;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;1;1;1;0;1;1;1;0;0;0;0;16;1;1;1;3;1;1;1;1;1;1;0;6
Crepis praemorsa;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;5;1;0;1;2;1;0;0;0;1;0;0;2
Crepis tectorum;1;1;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;1;1;0;0;0;1;1;0;1;0;13;1;1;1;3;1;0;1;1;1;1;1;6
Cryptogramma crispa;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;1;0;0;1;1;0;0;0;0;0;0;1
Cuscuta europaea;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;6;1;0;1;2;1;0;0;0;1;1;0;3
Cypripedium calceolus;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;6;1;0;1;2;1;0;0;0;0;1;0;2
Cystopteris alpina;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;1;0;0;0;0;0;0;1
Cystopteris fragilis;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;11;1;1;0;2;1;1;1;1;0;0;0;4
Cystopteris montana;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;1;0;0;0;0;0;0;1
Cystopteris sudetica;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;1;0;0;0;0;0;0;1
Cytisus scoparius;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;1;0;1;1;1;1;1;17;1;1;1;3;1;1;1;1;1;0;1;6
Dactylorhiza fuchsii;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;9;1;1;1;3;1;1;1;1;0;1;0;5
Dactylorhiza incarnata;1;1;1;1;1;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;12;1;1;0;2;1;1;1;1;0;0;1;5
Dactylorhiza maculata;1;1;0;1;1;0;0;0;1;0;1;1;1;0;0;1;0;0;1;1;1;1;0;0;1;1;1;0;0;16;1;1;1;3;1;1;1;1;1;1;1;7
Dactylorhiza majalis;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;7;1;1;1;3;1;0;0;1;0;1;1;4
Dactylorhiza praetermissa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dactylorhiza purpurella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dactylorhiza sambucina;1;1;1;1;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;10;1;1;0;2;1;1;1;1;0;0;1;5
Dactylorhiza traunsteineri;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;1;1;0;2;1;0;0;1;0;0;1;3
Danthonia decumbens;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;0;0;0;20;1;1;1;3;1;1;1;1;1;1;1;7
Daphne mezereum;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;1;1;0;1;22;1;1;1;3;1;1;1;1;1;1;1;7
Deschampsia alpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Deschampsia cespitosa;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;26;1;1;1;3;1;1;1;1;1;1;1;7
Deschampsia setacea;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;14;1;1;1;3;1;1;1;1;1;1;1;7
Dianthus deltoides;1;1;1;1;1;1;0;0;0;1;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;16;1;1;1;3;1;1;1;1;1;1;1;7
Dianthus superbus;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;13;1;1;1;3;1;1;1;1;1;1;1;7
Diapensia lapponica;1;1;1;1;1;1;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;0;1;1;1;1;1;0;0;19;1;1;1;3;1;1;1;1;1;1;1;7
Digitalis purpurea;1;1;1;1;1;1;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;18;1;1;1;3;1;1;1;1;1;1;0;6
Diphasiastrum ×zeilleri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diphasiastrum alpinum;0;1;1;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;10;1;1;1;3;1;1;1;1;0;1;0;5
Diphasiastrum complanatum;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Diplazium sibiricum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Draba alpina;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1
Draba cacuminum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Draba cinerea;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1
Draba crassifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Draba dovrensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Draba fladnizensis;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;5;1;0;1;2;1;0;0;0;1;0;0;2
Draba glabella;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1
Draba incana;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;6;1;0;1;2;1;0;0;0;1;1;0;3
Draba lactea;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0
Draba nivalis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Draba norvegica;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;4;1;0;1;2;1;0;0;0;0;1;0;2
Draba oxycarpa;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1
Draba subcapitata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Draba verna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0
Dracocephalum ruyschiana;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;1;0;1;2;1;0;0;0;0;0;0;1
Drosera anglica;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;1;1;1;0;0;0;17;1;1;1;3;1;1;1;1;1;1;1;7
Drosera intermedia;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;17;1;1;1;3;1;1;1;1;1;1;1;7
Drosera rotundifolia;1;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;1;1;1;0;1;1;1;1;0;21;1;1;1;3;1;1;1;1;1;1;1;7
Dryas octopetala;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;0;1;23;1;1;1;3;1;1;1;1;1;1;1;7
Drymocallis rupestris;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Drymochloa sylvatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dryopteris affinis;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;14;1;1;0;2;1;1;1;1;0;0;1;5
Dryopteris carthusiana;1;1;1;1;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;12;1;1;0;2;1;1;1;1;0;0;1;5
Dryopteris cristata;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;1;0;0;0;0;0;0;1
Dryopteris dilatata;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;12;1;1;0;2;1;1;1;1;0;0;1;5
Dryopteris expansa;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;14;1;1;0;2;1;1;1;1;0;0;1;5
Dryopteris filix-mas;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1;1;1;0;0;0;14;1;1;1;3;1;1;1;1;0;1;1;6
Elatine hexandra;0;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;1;1;0;0;1;0;0;0;13;1;1;1;3;1;1;1;1;1;1;1;7
Elatine orthosperma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Elatine triandra;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;2;1;0;0;0;0;0;0;1
Eleocharis acicularis;0;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;12;1;1;1;3;1;1;1;1;1;1;1;7
Eleocharis macrostachya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1
Eleocharis mamillata;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;5;1;0;1;2;1;0;0;0;1;0;0;2
Eleocharis multicaulis;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;13;1;1;1;3;1;1;1;1;1;1;1;7
